TREEID,OBJECTID_1,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,BUILDINGNU,BUILDINGST,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
186,16,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74A,TRINITY PLACE,1,4,1,1,6,PYCA,Manhattan,10006,0,101
188,17,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74,TRINITY PLACE,1,4,1,1,5,PYCA,Manhattan,10006,0,101
190,18,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,2,WASHINGTON STREET,1,4,1,1,4,GLTR,Manhattan,10004,0,101
192,19,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,18,WASHINGTON STREET,1,4,1,2,10,GLTR,Manhattan,10004,0,101
194,20,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,26,WASHINGTON STREET,2,4,1,2,3,GLTR,Manhattan,10004,0,101
196,21,GREENWICH STREET,odd,MORRIS STREET,EXCHANGE ALLEY,29,BROADWAY,3,3,2,2,15,PLAC,Manhattan,10006,0,101
185,23,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,78,TRINITY PLACE,1,4,1,2,4,PYCA,Manhattan,10006,0,101
187,24,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74,TRINITY PLACE,2,4,1,1,7,PYCA,Manhattan,10006,0,101
189,25,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,17,BATTERY PLACE,1,7,1,1,9,GLTR,Manhattan,10004,0,101
191,26,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,2,WASHINGTON STREET,2,4,1,2,15,PLAC,Manhattan,10004,0,101
193,27,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,26,WASHINGTON STREET,1,4,1,2,8,GLTR,Manhattan,10004,0,101
195,28,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,21,WEST STREET,1,3,1,2,4,GLTR,Manhattan,10004,0,101
197,29,GREENWICH STREET,odd,MORRIS STREET,EXCHANGE ALLEY,29,BROADWAY,2,3,1,2,5,GLTR,Manhattan,10006,0,101
198,30,GREENWICH STREET,odd,MORRIS STREET,EXCHANGE ALLEY,29,BROADWAY,1,3,1,2,7,GLTR,Manhattan,10006,0,101
200,31,GREENWICH STREET,odd,MORRIS STREET,BATTERY PLACE,25,BROADWAY,1,3,1,3,2,UNK,Manhattan,10004,0,101
202,32,GREENWICH STREET,even,MORRIS STREET,BATTERY PLACE,25,BROADWAY,3,3,1,3,2,UNK,Manhattan,10004,0,101
204,33,GREENWICH STREET,even,MORRIS STREET,BATTERY PLACE,25,BROADWAY,5,3,1,3,3,GLTR,Manhattan,10004,0,101
199,38,GREENWICH STREET,odd,MORRIS STREET,BATTERY PLACE,11,GREENWICH STREET,1,4,1,3,2,UNK,Manhattan,10004,0,101
201,39,GREENWICH STREET,odd,MORRIS STREET,BATTERY PLACE,25,BROADWAY,2,3,1,2,3,GLTR,Manhattan,10004,0,101
203,40,GREENWICH STREET,even,MORRIS STREET,BATTERY PLACE,25,BROADWAY,4,3,1,3,2,UNK,Manhattan,10004,0,101
205,41,GREENWICH STREET,even,MORRIS STREET,BATTERY PLACE,25,BROADWAY,6,3,1,3,2,UNK,Manhattan,10004,0,101
1261,328,RECTOR PLACE,odd,WASHINGTON STREET,WEST STREET,90,WASHINGTON STREET,2,2,1,2,3,GLTR,Manhattan,10006,0,101
1265,329,WASHINGTON STREET,even,RECTOR PLACE,JOSEPH P WARD STREET,90,WASHINGTON STREET,3,1,1,1,4,PYCA,Manhattan,10006,0,101
1267,330,WASHINGTON STREET,even,RECTOR PLACE,JOSEPH P WARD STREET,90,WASHINGTON STREET,1,1,1,1,4,PYCA,Manhattan,10006,0,101
1269,331,WEST STREET,even,ALBANY STREET,CARLISLE STREET,85,WEST STREET,1,6,2,1,5,STJA2,Manhattan,10006,0,101
1271,332,WEST STREET,odd,BARCLAY STREET,MURRAY STREET,125,BARCLAY STREET,1,2,2,2,4,GLTR,Manhattan,10007,0,101
1273,333,WEST STREET,odd,BARCLAY STREET,MURRAY STREET,125,BARCLAY STREET,3,2,2,1,5,GLTR,Manhattan,10007,0,101
1275,334,WEST STREET,odd,BARCLAY STREET,MURRAY STREET,125,BARCLAY STREET,5,2,2,1,4,GLTR,Manhattan,10007,0,101
1277,335,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,6,3,1,2,11,QUPA,Manhattan,10007,0,101
1276,336,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,7,3,1,2,3,QUPA,Manhattan,10007,0,101
1278,337,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,5,3,1,2,10,QUPA,Manhattan,10007,0,101
1280,338,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,3,3,1,3,11,QUPA,Manhattan,10007,0,101
1282,339,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,1,3,1,2,10,QUPA,Manhattan,10007,0,101
1109,352,READE STREET,even,HUDSON STREET,GREENWICH STREET,13,HUDSON STREET,2,2,1,2,12,PYCA,Manhattan,10013,0,101
1108,358,READE STREET,even,HUDSON STREET,GREENWICH STREET,13,HUDSON STREET,1,2,1,2,9,PYCA,Manhattan,10013,0,101
1110,359,READE STREET,even,HUDSON STREET,GREENWICH STREET,13,HUDSON STREET,3,2,1,2,16,PYCA,Manhattan,10013,0,101
1112,360,READE STREET,even,HUDSON STREET,GREENWICH STREET,134,READE STREET,2,1,1,2,16,PYCA,Manhattan,10013,0,101
1111,361,READE STREET,even,HUDSON STREET,GREENWICH STREET,134,READE STREET,1,1,1,2,11,PYCA,Manhattan,10013,0,101
1113,362,READE STREET,even,HUDSON STREET,GREENWICH STREET,156,READE STREET,1,1,1,1,4,MEGL,Manhattan,10013,0,101
1249,365,WARREN STREET,odd,GREENWICH STREET,WEST BROADWAY,275,GREENWICH STREET,4,2,1,1,9,GLTR,Manhattan,10007,0,101
1251,366,WARREN STREET,odd,GREENWICH STREET,WEST BROADWAY,275,GREENWICH STREET,2,2,1,1,8,GLTR,Manhattan,10007,0,101
1253,367,WARREN STREET,even,GREENWICH STREET,WEST BROADWAY,295,GREENWICH STREET,1,2,1,3,5,GLTR,Manhattan,10007,0,101
1255,368,GREENWICH STREET,even,CHAMBERS STREET,WARREN STREET,292,GREENWICH STREET,4,1,1,1,4,ACPL,Manhattan,10007,0,101
1250,372,WARREN STREET,odd,GREENWICH STREET,WEST BROADWAY,275,GREENWICH STREET,3,2,1,1,7,GLTR,Manhattan,10007,0,101
1252,373,WARREN STREET,odd,GREENWICH STREET,WEST BROADWAY,275,GREENWICH STREET,1,2,1,2,8,GLTR,Manhattan,10007,0,101
1254,374,WARREN STREET,even,GREENWICH STREET,WEST BROADWAY,295,GREENWICH STREET,2,2,1,2,11,GLTR,Manhattan,10007,0,101
1256,375,GREENWICH STREET,even,CHAMBERS STREET,WARREN STREET,292,GREENWICH STREET,3,1,1,2,3,QUAC,Manhattan,10007,0,101
1258,376,GREENWICH STREET,even,CHAMBERS STREET,WARREN STREET,292,GREENWICH STREET,1,1,1,1,8,QUPA,Manhattan,10007,0,101
1257,377,GREENWICH STREET,even,CHAMBERS STREET,WARREN STREET,292,GREENWICH STREET,2,1,1,1,8,QUPA,Manhattan,10007,0,101
1260,378,RECTOR PLACE,odd,WASHINGTON STREET,WEST STREET,90,WASHINGTON STREET,1,2,1,1,3,GLTR,Manhattan,10006,0,101
1263,379,RECTOR PLACE,odd,WASHINGTON STREET,WEST STREET,90,WASHINGTON STREET,3,2,1,2,3,GLTR,Manhattan,10006,0,101
1266,380,WASHINGTON STREET,even,RECTOR PLACE,JOSEPH P WARD STREET,90,WASHINGTON STREET,2,1,1,1,4,PYCA,Manhattan,10006,0,101
1268,381,WEST STREET,even,ALBANY STREET,CARLISLE STREET,75,WEST STREET,1,6,2,1,5,STJA2,Manhattan,10006,0,101
1270,382,WEST STREET,even,ALBANY STREET,CARLISLE STREET,85,WEST STREET,2,6,2,2,4,STJA2,Manhattan,10006,0,101
1272,383,WEST STREET,odd,BARCLAY STREET,MURRAY STREET,125,BARCLAY STREET,2,2,2,2,4,GLTR,Manhattan,10007,0,101
1274,384,WEST STREET,odd,BARCLAY STREET,MURRAY STREET,125,BARCLAY STREET,4,2,2,1,5,GLTR,Manhattan,10007,0,101
1284,385,MURRAY STREET,even,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,2,3,1,1,7,GIBI,Manhattan,10007,0,101
1286,386,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,6,1,1,1,10,GIBI,Manhattan,10007,0,101
1288,387,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,4,1,1,1,7,GIBI,Manhattan,10007,0,101
1290,388,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,2,1,1,2,8,GIBI,Manhattan,10007,0,101
1279,389,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,4,3,1,2,4,QUPA,Manhattan,10007,0,101
1281,390,MURRAY STREET,even,WEST STREET,GREENWICH STREET,125,BARCLAY STREET,2,3,1,1,5,QUPA,Manhattan,10007,0,101
1283,391,MURRAY STREET,even,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,3,3,1,2,6,GIBI,Manhattan,10007,0,101
1285,392,MURRAY STREET,even,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,1,3,1,1,8,GIBI,Manhattan,10007,0,101
1287,393,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,5,1,1,1,7,GIBI,Manhattan,10007,0,101
1289,394,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,3,1,1,1,6,GIBI,Manhattan,10007,0,101
1291,395,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,MURRAY STREET,1,1,1,2,6,GIBI,Manhattan,10007,0,101
1293,396,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,2,4,1,1,7,GIBI,Manhattan,10007,0,101
1292,397,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,3,4,1,1,6,GIBI,Manhattan,10007,0,101
1294,398,MURRAY STREET,odd,WEST STREET,GREENWICH STREET,101,BARCLAY STREET,1,4,1,1,6,GIBI,Manhattan,10007,0,101
1296,399,GREENWICH STREET,odd,PARK PLACE,MURRAY STREET,75,PARK PLACE,2,2,1,1,5,GLTR,Manhattan,10007,0,101
1298,400,GREENWICH STREET,odd,PARK PLACE,MURRAY STREET,75,PARK PLACE,4,2,1,2,6,GLTR,Manhattan,10007,0,101
1300,401,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,2,1,1,2,5,GLTR,Manhattan,10007,0,101
1302,402,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,4,1,1,2,5,GLTR,Manhattan,10007,0,101
1304,403,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,6,1,1,2,7,GLTR,Manhattan,10007,0,101
1584,404,WARREN STREET,even,GREENWICH STREET,WEST STREET,200,CHAMBERS STREET,1,3,1,2,9,ULAM,Manhattan,10007,0,101
1295,405,GREENWICH STREET,odd,PARK PLACE,MURRAY STREET,75,PARK PLACE,1,2,1,1,5,GLTR,Manhattan,10007,0,101
1297,406,GREENWICH STREET,odd,PARK PLACE,MURRAY STREET,75,PARK PLACE,3,2,1,1,6,GLTR,Manhattan,10007,0,101
1299,407,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,1,1,1,2,5,GLTR,Manhattan,10007,0,101
1301,408,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,3,1,1,2,5,GLTR,Manhattan,10007,0,101
1303,409,GREENWICH STREET,odd,WARREN STREET,MURRAY STREET,275,GREENWICH STREET,5,1,1,2,5,GLTR,Manhattan,10007,0,101
1583,410,WARREN STREET,even,GREENWICH STREET,WEST STREET,200,CHAMBERS STREET,2,3,1,3,8,ULAM,Manhattan,10007,0,101
1585,411,WARREN STREET,even,GREENWICH STREET,WEST STREET,292,GREENWICH STREET,5,2,1,1,9,QUPA,Manhattan,10007,0,101
1587,412,WARREN STREET,even,GREENWICH STREET,WEST STREET,292,GREENWICH STREET,3,2,1,1,10,QUPA,Manhattan,10007,0,101
1586,413,WARREN STREET,even,GREENWICH STREET,WEST STREET,292,GREENWICH STREET,4,2,1,1,9,QUPA,Manhattan,10007,0,101
1588,414,WARREN STREET,even,GREENWICH STREET,WEST STREET,292,GREENWICH STREET,2,2,1,1,8,QUPA,Manhattan,10007,0,101
1590,415,READE STREET,odd,HUDSON STREET,GREENWICH STREET,121,READE STREET,1,1,1,1,6,PYCA,Manhattan,10013,0,101
1592,416,READE STREET,odd,HUDSON STREET,GREENWICH STREET,121,READE STREET,3,1,1,1,7,PYCA,Manhattan,10013,0,101
1594,417,READE STREET,odd,HUDSON STREET,GREENWICH STREET,151,READE STREET,2,1,1,1,11,PYCA,Manhattan,10013,0,101
1596,418,READE STREET,odd,HUDSON STREET,GREENWICH STREET,151,READE STREET,4,1,1,1,11,PYCA,Manhattan,10013,0,101
1598,419,GREENWICH STREET,odd,CHAMBERS STREET,READE STREET,303,GREENWICH STREET,1,1,1,1,4,GLTR,Manhattan,10013,0,101
1600,420,GREENWICH STREET,odd,CHAMBERS STREET,READE STREET,311,GREENWICH STREET,1,1,1,1,12,PYCA,Manhattan,10013,0,101
1589,421,WARREN STREET,even,GREENWICH STREET,WEST STREET,292,GREENWICH STREET,1,2,1,1,8,QUPA,Manhattan,10007,0,101
1591,422,READE STREET,odd,HUDSON STREET,GREENWICH STREET,121,READE STREET,2,1,1,1,5,PYCA,Manhattan,10013,0,101
1593,423,READE STREET,odd,HUDSON STREET,GREENWICH STREET,151,READE STREET,1,1,1,1,12,PYCA,Manhattan,10013,0,101
1595,424,READE STREET,odd,HUDSON STREET,GREENWICH STREET,151,READE STREET,3,1,1,1,13,PYCA,Manhattan,10013,0,101
1597,425,READE STREET,odd,HUDSON STREET,GREENWICH STREET,151,READE STREET,5,1,1,1,13,PYCA,Manhattan,10013,0,101
1599,426,GREENWICH STREET,odd,CHAMBERS STREET,READE STREET,303,GREENWICH STREET,2,1,1,1,4,GLTR,Manhattan,10013,0,101
1601,427,GREENWICH STREET,odd,CHAMBERS STREET,READE STREET,311,GREENWICH STREET,2,1,1,1,13,PYCA,Manhattan,10013,0,101
1603,428,CHAMBERS STREET,odd,GREENWICH STREET,WEST BROADWAY,167,CHAMBERS STREET,2,1,1,1,2,PYCA,Manhattan,10007,0,101
1602,429,GREENWICH STREET,odd,CHAMBERS STREET,READE STREET,311,GREENWICH STREET,3,1,1,1,13,PYCA,Manhattan,10013,0,101
1604,430,CHAMBERS STREET,odd,GREENWICH STREET,WEST BROADWAY,167,CHAMBERS STREET,1,1,1,1,2,PYCA,Manhattan,10007,0,101
1606,431,CHAMBERS STREET,odd,GREENWICH STREET,WEST BROADWAY,147,CHAMBERS STREET,1,1,1,1,6,PYCA,Manhattan,10007,0,101
1608,432,HUDSON STREET,odd,READE STREET,CHAMBERS STREET,5,HUDSON STREET,2,1,1,1,6,PYCA,Manhattan,10013,0,101
1611,433,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,144,CHAMBERS STREET,1,1,1,2,3,TIAM,Manhattan,10007,0,101
1613,434,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,164,CHAMBERS STREET,2,1,1,1,8,GLTR,Manhattan,10007,0,101
1617,435,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,166,CHAMBERS STREET,2,1,1,2,6,GLTR,Manhattan,10007,0,101
1620,436,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,1,1,1,1,9,GLTR,Manhattan,10007,0,101
1605,437,CHAMBERS STREET,odd,GREENWICH STREET,WEST BROADWAY,147,CHAMBERS STREET,2,1,1,2,5,PYCA,Manhattan,10007,0,101
1607,438,HUDSON STREET,odd,READE STREET,CHAMBERS STREET,5,HUDSON STREET,3,1,1,1,6,PYCA,Manhattan,10013,0,101
1609,439,HUDSON STREET,odd,READE STREET,CHAMBERS STREET,5,HUDSON STREET,1,1,1,1,8,PYCA,Manhattan,10013,0,101
1612,440,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,164,CHAMBERS STREET,1,1,1,1,6,GLTR,Manhattan,10007,0,101
1615,441,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,166,CHAMBERS STREET,1,1,1,2,8,GLTR,Manhattan,10007,0,101
1618,442,CHAMBERS STREET,even,HUDSON STREET,GREENWICH STREET,295,GREENWICH STREET,1,2,1,1,7,GLTR,Manhattan,10007,0,101
1622,443,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,2,1,1,1,8,GLTR,Manhattan,10007,0,101
1624,444,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,4,1,1,1,8,GLTR,Manhattan,10007,0,101
1623,445,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,3,1,1,1,9,GLTR,Manhattan,10007,0,101
1626,446,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,5,1,1,1,8,GLTR,Manhattan,10007,0,101
1631,447,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,7,1,1,2,9,GLTR,Manhattan,10007,0,101
1630,453,GREENWICH STREET,odd,WARREN STREET,CHAMBERS STREET,295,GREENWICH STREET,6,1,1,1,8,GLTR,Manhattan,10007,0,101
232,63,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,102,BEDFORD STREET,1,1,1,1,7,FRPE,Manhattan,10014,1,102
234,64,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,102-104,BEDFORD STREET,2,4,1,1,8,FRPE,Manhattan,10014,1,102
236,65,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,107,BEDFORD STREET,1,1,1,1,8,TICO,Manhattan,10014,1,102
238,66,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,115,BEDFORD STREET,1,1,1,2,8,TICO,Manhattan,10014,1,102
240,67,GROVE STREET,even,BEDFORD STREET,HUDSON STREET,2,GROVE STREET,2,1,1,1,2,ZESE,Manhattan,10014,1,102
244,68,GROVE STREET,even,BEDFORD STREET,HUDSON STREET,12,GROVE STREET,1,1,1,1,13,PLAC,Manhattan,10014,1,102
246,69,WEST    4 STREET,even,7 AVENUE SOUTH,GROVE STREET,74,GROVE STREET,1,7,1,7,0,,Manhattan,10014,1,102
231,70,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,100,BEDFORD STREET,1,4,1,1,7,FRPE,Manhattan,10014,1,102
233,71,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,104-106,BEDFORD STREET,1,4,1,1,7,FRPE,Manhattan,10014,1,102
235,72,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,104-106,BEDFORD STREET,3,4,1,1,6,FRPE,Manhattan,10014,1,102
237,73,BEDFORD STREET,odd,GROVE STREET,CHRISTOPHER STREET,113,BEDFORD STREET,1,1,1,1,9,SYRE,Manhattan,10014,1,102
239,74,GROVE COURT,even,BEDFORD STREET,HUDSON STREET,2,GROVE STREET,1,1,1,3,8,TICO,Manhattan,10014,1,102
242,75,GROVE STREET,even,BEDFORD STREET,HUDSON STREET,6,GROVE STREET,1,1,1,1,11,GIBI,Manhattan,10014,1,102
243,76,GROVE STREET,even,BEDFORD STREET,HUDSON STREET,10,GROVE STREET,1,1,1,1,12,PLAC,Manhattan,10014,1,102
245,77,GROVE STREET,even,BEDFORD STREET,HUDSON STREET,14,GROVE STREET,1,1,1,1,7,PR,Manhattan,10014,1,102
247,78,WEST    4 STREET,even,7 AVENUE SOUTH,GROVE STREET,74,GROVE STREET,2,7,1,7,0,,Manhattan,10014,1,102
249,79,BLEECKER STREET,even,GROVE STREET,CHRISTOPHER STREET,322,BLEECKER STREET,1,1,1,2,7,TICO,Manhattan,10014,1,102
248,85,7 AVENUE SOUTH,even,GROVE STREET,BLEECKER STREET,88,7 AVENUE SOUTH,1,1,1,2,14,PYCA,Manhattan,10014,1,102
287,100,7 AVENUE SOUTH,odd,BARROW STREET,GROVE STREET,87,7 AVENUE SOUTH,1,1,1,1,2,STJA2,Manhattan,10014,1,102
273,103,WEST  155 STREET,odd,BROADWAY,RIVERSIDE DRIVE,633,BROADWAY,1,1,1,1,12,TICO,Manhattan,10012,1,102
288,107,7 AVENUE SOUTH,odd,BARROW STREET,GROVE STREET,87,7 AVENUE SOUTH,2,1,1,1,2,STJA2,Manhattan,10014,1,102
290,108,BLEECKER STREET,odd,GROVE STREET,7 AVENUE SOUTH,303,BLEECKER STREET,1,1,1,2,16,TICO,Manhattan,10014,1,102
289,109,7 AVENUE SOUTH,odd,BARROW STREET,GROVE STREET,87,7 AVENUE SOUTH,3,1,1,2,6,STJA2,Manhattan,10014,1,102
291,110,BLEECKER STREET,odd,GROVE STREET,7 AVENUE SOUTH,303,BLEECKER STREET,2,1,1,2,14,TICO,Manhattan,10014,1,102
293,111,GROVE STREET,odd,BEDFORD STREET,HUDSON STREET,490,HUDSON STREET,2,2,1,1,2,GIBI,Manhattan,10014,1,102
295,112,GROVE STREET,odd,BEDFORD STREET,HUDSON STREET,490,HUDSON STREET,4,2,1,3,6,FRPE,Manhattan,10014,1,102
297,113,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,100,BEDFORD STREET,1,1,1,1,7,FRPE,Manhattan,10014,1,102
299,114,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,102,BEDFORD STREET,1,1,1,1,7,FRPE,Manhattan,10014,1,102
301,115,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,104-106,BEDFORD STREET,2,1,1,1,9,PYCA,Manhattan,10014,1,102
303,116,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,110,BEDFORD STREET,2,1,1,2,9,PYCA,Manhattan,10014,1,102
12408,2455,EAST   73 STREET,odd,5 AVENUE,MADISON AVENUE,923,5 AVENUE,3,2,1,4,10,,Manhattan,10021,7,108
292,117,GROVE STREET,odd,BEDFORD STREET,HUDSON STREET,490,HUDSON STREET,1,2,1,1,10,GIBI,Manhattan,10014,1,102
294,118,GROVE STREET,odd,BEDFORD STREET,HUDSON STREET,490,HUDSON STREET,3,2,1,2,8,GIBI,Manhattan,10014,1,102
296,119,GROVE STREET,odd,BEDFORD STREET,HUDSON STREET,490,HUDSON STREET,5,2,1,1,9,STJA2,Manhattan,10014,1,102
298,120,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,100,BEDFORD STREET,2,1,1,2,8,FRPE,Manhattan,10014,1,102
300,121,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,104-106,BEDFORD STREET,1,1,1,2,8,GIBI,Manhattan,10014,1,102
302,122,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,110,BEDFORD STREET,1,1,1,1,7,PYCA,Manhattan,10014,1,102
304,123,BEDFORD STREET,even,GROVE STREET,CHRISTOPHER STREET,110,BEDFORD STREET,3,1,1,1,2,GIBI,Manhattan,10014,1,102
2978,815,CHRISTOPHER STREET,odd,HUDSON STREET,GREENWICH STREET,135,CHRISTOPHER STREET,1,1,1,1,16,QUPH,Manhattan,10014,1,102
2980,816,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,131,CHRISTOPHER STREET,1,4,1,2,9,FRPE,Manhattan,10014,1,102
2982,823,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,135,CHRISTOPHER STREET,1,4,1,2,7,QUPH,Manhattan,10014,1,102
2984,824,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,139,CHRISTOPHER STREET,1,4,1,2,7,PYCA,Manhattan,10014,1,102
2987,825,CHRISTOPHER STREET,odd,GREENWICH STREET,WASHINGTON STREET,143,CHRISTOPHER STREET,1,1,1,1,9,GLTR,Manhattan,10014,1,102
2989,826,CHRISTOPHER STREET,odd,GREENWICH STREET,WASHINGTON STREET,159,CHRISTOPHER STREET,1,1,1,2,2,GLTR,Manhattan,10014,1,102
2977,827,CHRISTOPHER STREET,odd,HUDSON STREET,GREENWICH STREET,133,CHRISTOPHER STREET,1,2,1,2,14,PLAC,Manhattan,10014,1,102
2979,828,CHRISTOPHER STREET,odd,HUDSON STREET,GREENWICH STREET,139,CHRISTOPHER STREET,1,1,1,1,10,ROPS,Manhattan,10014,1,102
2981,829,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,133,CHRISTOPHER STREET,1,4,1,2,7,QUPH,Manhattan,10014,1,102
2983,830,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,137A,CHRISTOPHER STREET,1,4,1,2,9,FRPE,Manhattan,10014,1,102
2985,831,CHRISTOPHER STREET,even,HUDSON STREET,GREENWICH STREET,139,CHRISTOPHER STREET,2,7,1,2,7,TICO,Manhattan,10014,1,102
2988,832,CHRISTOPHER STREET,odd,GREENWICH STREET,WASHINGTON STREET,147,CHRISTOPHER STREET,1,1,1,2,5,GLTR,Manhattan,10014,1,102
2991,833,CHRISTOPHER STREET,odd,GREENWICH STREET,WASHINGTON STREET,159,CHRISTOPHER STREET,2,1,1,1,9,GLTR,Manhattan,10014,1,102
2994,834,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,149-155,CHRISTOPHER STREET,1,4,1,2,5,TADI,Manhattan,10014,1,102
2993,835,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,143,CHRISTOPHER STREET,1,4,1,1,7,PYCA,Manhattan,10014,1,102
2996,836,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,149-155,CHRISTOPHER STREET,2,4,1,2,7,PYCA,Manhattan,10014,1,102
2999,837,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,154,CHRISTOPHER STREET,1,1,1,1,7,PYCA,Manhattan,10014,1,102
3002,838,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,158,CHRISTOPHER STREET,2,1,1,1,7,PYCA,Manhattan,10014,1,102
3004,839,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,160,CHRISTOPHER STREET,1,1,1,1,7,PYCA,Manhattan,10014,1,102
2997,843,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,149-155,CHRISTOPHER STREET,3,4,1,2,5,TADI,Manhattan,10014,1,102
3001,844,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,158,CHRISTOPHER STREET,1,1,1,2,6,TADI,Manhattan,10014,1,102
3003,845,CHRISTOPHER STREET,even,WASHINGTON STREET,GREENWICH STREET,158,CHRISTOPHER STREET,3,1,1,1,5,TADI,Manhattan,10014,1,102
5213,1293,SPRING STREET,even,BOWERY,ELIZABETH STREET,10,SPRING STREET,1,1,1,7,0,0,Manhattan,10012,1,102
5253,1300,SPRING STREET,even,ELIZABETH STREET,MOTT STREET,20,SPRING STREET,1,1,1,1,2,PYCA,Manhattan,10012,1,102
5224,1301,SPRING STREET,even,BOWERY,ELIZABETH STREET,12,SPRING STREET,1,1,1,1,7,GIBI,Manhattan,10012,1,102
